nama,sinta_id,dept,sinta_score,sinta_3yr_score,scopus_h_index,gs_h_index
FAHRUDIN,5993594,Pendidikan Agama Islam (S2),447,231,2,6
ROFI ROFAIDA,5993860,Manajemen (S2),552,231,1,11
AHMAD MULYADIPRANA,6000290,PGSD Kampus Tasikmalaya (S1),292,231,0,6
MUPID,5993544,Pendidikan Umum dan Karakter (S3),247,215,1,4
MUHAMMAD TAUFIK DWI PUTRA,6745726,Teknik Komputer (S1),260,214,1,1
TAUFIK RAHMAN,6081100,Pendidikan Ilmu Pengetahuan Alam (S2),595,214,2,9
ARIF HIDAYAT,257991,Pendidikan Fisika (S1),529,214,3,4
IIM SITI MASYITOH,5992560,Pendidikan Kewarganegaraan (S2),421,213,1,4
R BOYKE MULYANA,6139448,Pendidikan Kepelatihan Olahraga (S1),383,211,2,4
ASEP HADIAN SASMITA,5993940,Teknik Mesin (D3),560,211,1,3
KARLIMAH,5982248,Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya (S2),584,210,2,7
"SUHENDRA, M.ED., PH.D",6140435,Pendidikan Matematika (S1),579,210,4,10
KAMIN SUMARDI,5978127,Pendidikan Teknologi dan Kejuruan (S2),632,210,1,9
DEDE TRIE KURNIAWAN,6745958,Pendidikan Guru Sekolah Dasar Kampus Cibiru (S2),495,210,2,7
DINA SITI LOGAYAH,6140888,Pendidikan IPS (S1),343,209,1,4
RASIM,5990962,Ilmu Komputer (S1),663,209,5,5
WAWAN HERMAWAN,5989811,Pendidikan Agama Islam (S2),366,209,0,5
DEDI KOSWARA,5987715,Pendidikan Bahasa dan Budaya Sunda (S2),567,208,1,6
TRI INDRI HARDINI,5978640,Pendidikan Bahasa Perancis (S2),430,208,1,6
RADITYA MUHAMMAD,6682222,Rekayasa Perangkat Lunak (S1),263,208,1,2
RISKHA MARDIANA,6000847,Pendidikan Teknik Arsitektur (S1),609,208,4,0
